property_type,society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,BHK,Location,Other,servant,Store,Pooja,luxury_score,Furnished,carpet12,Build,Super_area
flat,paras dews,1.05,7581,2,2,2,5,new,2,Sector 106,0,0,0,0,97,1,1384.991013,1558.208067,1732.052191
flat,godrej air,1.83,10005,3,3,3+,18,under construction,3,Sector 85,0,0,0,0,110,1,1829.001888,2057.750173,2287.326559
flat,dlf the primus,2.25,10714,3,3,3+,29,moderate,3,Sector 82A,0,1,0,0,72,2,2100.03689,2362.682785,2626.279494
flat,emaar mgf emerald floors premier,2.8,16969,3,3,3+,3,moderate,3,Sector 65,0,1,0,0,38,0,1649.998231,1856.359016,2063.466856
flat,dlf regency park,1.6,14545,2,2,2,3,moderate,2,DLF Phase 4,0,0,0,0,52,1,1099.962941,1237.53231,1375.5997
flat,supertech araville,0.83,5424,2,2,3,5,new,2,Sector 79,0,0,0,0,49,2,1529.980746,1721.331271,1913.374512
flat,signature global park,0.83,7410,3,2,2,1,new,3,Sohna,0,0,0,0,16,1,1119.983795,1260.057118,1400.637526
flat,maxworth city residences,0.8,6400,2,3,2,9,new,2,Sector 10A,0,0,0,0,46,1,1250.011707,1406.347267,1563.248783
flat,deepak minda,1.25,4715,4,4,3+,6,old,4,Sector 1A IMT Manesar,0,0,0,0,44,0,2651.040931,2982.599401,3315.358157
flat,shree shyam residency,0.23,5000,1,1,1,2,moderate,1,Block A Surya Vihar,0,0,0,0,9,1,460.049086,517.5861723,575.3315508
flat,pivotal devaan,0.3,6666,1,1,1,14,new,1,Sector 84,0,0,0,0,22,0,450.038659,506.3237685,562.8126378
flat,unitech the residences,1.55,9872,3,4,1,1,moderate,3,Sector 33,0,1,0,0,37,1,1255.428099,1412.441072,1570.022454
flat,chd avenue,0.79,6594,2,2,2,8,moderate,2,Sector 71,1,0,0,0,0,1,957.9675537,1077.777947,1198.02207
flat,"gokuldham society, bahadurgarh",0.5,5555,2,2,2,2,old,2,Sector-7 Housing Board,0,0,1,0,0,1,750.028552,843.8325804,899.969679
flat,silverglades the melia,1.01,7000,2,2,3,12,under construction,2,Sohna,0,0,0,0,80,1,950.021814,1068.838455,1450.004969
flat,sare crescent parc royal greens phase 1,0.95,5007,4,5,3+,4,old,4,Sector 92,0,1,0,0,37,1,1516.911066,1706.627002,1897.029736
flat,umang winter hills,0.99,7857,2,2,2,1,moderate,2,Sector 77,0,0,0,0,97,1,999.96631,1125.029373,1260.022134
flat,ramprastha skyz,1.1,6376,3,3,3+,7,under construction,3,Sector 37D,0,0,0,0,109,1,1379.369992,1551.884041,1725.022614
flat,4s aradhya homes,1.9,8863,4,4,3,3,new,4,Sector 67A,0,0,0,0,62,0,1759.200254,1979.218639,2200.033521
flat,ild greens,1,4320,3,3,3+,5,under construction,3,Sector 37C,0,0,0,0,51,1,1499.26656,1686.775746,1874.963741
flat,bptp freedom park life,2.5,11111,3,3,3,9,old,3,Sector 57,0,0,0,0,0,1,1799.137087,2024.150262,2249.978017
flat,godrej habitat,1.1,10410,2,2,2,14,new,2,Sector 3,0,0,0,0,0,1,844.8705757,950.5362377,1056.584424
