BHK,House,Location,Bedroom,Bathroom,balcony,Furnish_Details,other,Study,pooja,store,servant,Floor,price,rate,society,AgeofProperty,Feature,plot,Build,carpet
2,House,Pratap Nagar,2,2,1,0,0,0,0,0,0,3,1.4,8235,,moderate,0,2208.696364,1700.6962,1606.324628
5,House,Sector 39 Gurgaon,5,5,0,0,0,0,0,0,0,1,5.15,14072,,moderate,0,4752.890909,3659.726,3456.647934
5,House,Sector 14 Gurgaon,5,5,0,0,0,0,0,0,0,4,6.5,26000,Sector 14 RWA,old,0,2497.2248,1922.863096,1816.163491
6,House,Sector 17 Gurgaon,6,5,3,0,0,0,0,0,0,3,3.5,24305,IFFCO Nagar and 17B RWA,very old,44,1442.3626,1110.619202,1048.990982
9,House,DLF Phase 2,9,9,0,0,0,0,0,0,0,1,13.5,19286,,moderate,0,9086.409091,6996.535,6608.297521
9,House,Palam Vihar,9,9,3+ ,1,0,0,1,0,0,3,5.7,22634,,old,0,2432.6414,1873.133878,1769.193745
1,House,Sushant Lok Phase 1,1,1,0,0,0,0,0,0,0,,3.3,26570,Ansal Sushant Lok Plots,under construction,0,1237.8485,953.143345,900.2534545
4,House,Krishna Colony,4,2,2,1,1,0,0,0,0,2,1.75,11111,,very old,31,1571.5294,1210.077638,1142.930473
8,House,Sector 12A Gurgaon,8,8,3+ ,1,0,1,1,0,1,3,3.5,133079,,moderate,77,258.3336,198.916872,187.8789818
8,House,Laxman Vihar,8,4,3+ ,0,0,0,0,0,0,2,1.1,6111,,very old,7,1797.5713,1384.129901,1307.324582
2,House,Laxman Vihar,2,3,0,0,0,0,0,0,0,1,1.25,78125,,unknown,0,209.6863636,161.4585,152.4991736
4,House,Sector 10A Gurgaon,4,3,2,0,0,0,0,0,0,1,4.25,17955,,unknown,0,3075.4,2368.058,2236.654545
4,House,Sector 54 Gurgaon,4,4,0,1,0,0,0,0,0,1,5.7,211111,DLF The Grove,unknown,46,349.4772727,269.0975,254.1652893
3,House,Sector 70A Gurgaon,3,2,1,0,0,0,0,0,0,3,2.1,35000,,new,0,828.8203,638.191631,602.7784
5,House,Ashok Vihar Phase 2,5,4,2,0,0,0,0,0,0,1,1.1,10000,,unknown,0,1425.867273,1097.9178,1036.99438
4,House,Sohna Road,4,4,3+ ,1,0,0,0,0,0,4,1.2,22297,,very old,8,538.195,414.41015,391.4145455
4,House,DLF Phase 4,4,4,0,0,0,0,0,0,0,4,4.5,125000,,unknown,0,461.31,355.2087,335.4981818
2,House,Bhawani Enclave,2,2,1,1,1,0,0,0,0,,1.1,73333,,very old,0,150.6946,116.034842,109.5960727
4,House,Garhi Harsaru,4,4,0,0,0,0,0,0,0,1,3,11111,,unknown,0,3714.890988,2860.46606,2701.7389
4,House,Sector 48 Gurgaon,4,6,3,0,1,0,1,0,1,3,8.5,26235,Vipul Tatvam Villa,very old,49,3239.9339,2494.749103,2356.315564
5,House,"Anand Garden, Sector-105",5,3,1,0,0,1,1,0,0,2,1.1,6790,"Anand Garden, Sector-105",very old,0,1625.3489,1251.518653,1182.071927
9,House,Jacobpura,9,6,2,0,0,0,0,0,0,2,6,315789,,very old,0,193.7502,149.187654,140.9092364
3,House,Rajendra Park,3,2,1,0,0,0,0,0,0,1,1.15,3285,,unknown,0,4810.117813,3703.790716,3498.2675
3,House,Sector 67 Gurgaon,3,3,3,0,0,0,0,0,0,1,1.85,74000,Ansal API Esencia,unknown,0,340.4083375,262.1144199,247.5697
6,House,Sector 63A Gurgaon,6,6,3+ ,0,0,0,1,1,0,3,8.5,27139,Anant Raj Estates,under construction,29,3132.2949,2411.867073,2278.032655
4,House,DLF Phase 5,4,4,2,1,0,0,0,1,1,4,5.75,23662,,unknown,153,2432.6414,1873.133878,1769.193745
5,House,Sector 53 Gurgaon,5,5,3+ ,1,0,0,0,0,0,1,4.65,17574,,old,0,2647.9194,2038.897938,1925.759564
4,House,Ansal's Palam Vihar,4,4,3+ ,1,0,1,0,0,1,4,7.2,13333,,very old,15,4682.2965,3605.368305,3405.306545
4,House,Prem Nagar,4,5,2,0,0,0,0,0,0,2,4.5,9091,,very old,0,4951.394,3812.57338,3601.013818
5,House,Jacobpura Near Sadar Bazar,5,2,1,1,1,0,0,0,0,3,1.3,23557,Jacobpura Gurugram,very old,0,505.9033,389.545541,367.9296727
14,House,DLF Phase 3,14,14,3+ ,2,0,0,0,0,0,6,3.2,59259,,moderate,15,538.195,414.41015,391.4145455
3,House,Sector 104 Gurgaon,3,5,3+ ,0,0,0,0,0,0,2,1.95,21195,Hero Homes,old,64,914.9315,704.497255,665.4047273
10,House,Prem Nagar,10,6,2,1,1,0,0,0,0,3,1.25,151,Ganpati Heights Apartment,very old,7,82795.9188,63752.85748,60215.21367
5,House,Sector 109 Gurgaon,5,6,3+ ,0,0,0,0,0,1,2,6.1,25103,International City by Sobha Phase 1,old,30,2432.6414,1873.133878,1769.193745
3,House,Manesar,3,1,0,0,0,0,0,0,0,3,2,14954,,old,16,1334.7236,1027.737172,970.7080727
8,House,Saraswati Vihar,8,8,3+ ,1,1,0,0,0,0,4,2.1,23333,Housing Board Colony,old,38,904.1676,696.209052,657.5764364
3,House,Sector 89 Gurgaon,3,3,2,0,1,1,0,0,0,1,1.25,8784,Smart World Gems,unknown,45,1845.24,1420.8348,1341.992727
5,House,Nirvana Country,5,6,0,0,0,0,0,0,0,1,11.5,35494,Unitech Espace,unknown,0,4207.706364,3239.9339,3060.150083
3,House,Rajendra Park,3,3,1,0,0,0,0,0,0,2,1.3,11555,,old,16,1130.2095,870.261315,821.9705455
7,House,Sector 3 Gurgaon,7,2,0,0,0,0,0,0,0,1,1.5,7576,Bhim Garh Kheri,unknown,0,1980.5576,1525.029352,1440.405527
3,House,Rajendra Park,3,3,1,0,0,0,0,0,0,1,1.3,11556,,unknown,0,1467.804545,1130.2095,1067.494215
4,House,Sector 14 Gurgaon,4,4,3+ ,0,0,0,0,0,0,2,6.5,20635,Sector 14 RWA,old,0,3153.8227,2428.443479,2293.689236
2,House,Patel Nagar,2,2,1,0,0,0,0,0,1,1,1.07,11888,,very old,7,904.1676,696.209052,657.5764364
